,code,name,lot_size,stock_type
501,HK.00565,錦藝集團控股,5000,STOCK
502,HK.00566,漢能薄膜發電,2000,STOCK
503,HK.00567,大昌微綫集團,2000,STOCK
504,HK.00568,山東墨龍,400,STOCK
505,HK.00569,中國自動化,1000,STOCK
506,HK.00570,中國中藥,2000,STOCK
507,HK.00571,豐德麗控股,2000,STOCK
508,HK.00572,未來世界金融,4000,STOCK
509,HK.00573,稻香控股,1000,STOCK
510,HK.00574,百信藥業,2000,STOCK
511,HK.00575,勵晶太平洋,10000,STOCK
512,HK.00576,浙江滬杭甬,2000,STOCK
513,HK.00577,十三集團,500,STOCK
514,HK.00578,融信資源,10000,STOCK
515,HK.00579,京能清潔能源,2000,STOCK
516,HK.00580,賽晶電力電子,2000,STOCK
517,HK.00581,中國東方集團,2000,STOCK
518,HK.00582,藍鼎國際,5000,STOCK
519,HK.00583,長城環亞控股,2000,STOCK
520,HK.00585,意馬國際,8000,STOCK
521,HK.00586,海螺創業,500,STOCK
522,HK.00587,華瀚健康,4000,STOCK
523,HK.00588,北京北辰實業股份,2000,STOCK
524,HK.00589,寶國國際,500,STOCK
525,HK.00590,六福集團,1000,STOCK
526,HK.00591,中國高精密,1000,STOCK
527,HK.00592,堡獅龍,2000,STOCK
528,HK.00593,天洋國際控股,500,STOCK
529,HK.00595,先思行,2000,STOCK
530,HK.00596,浪潮國際,2000,STOCK
531,HK.00598,中國外運,1000,STOCK
532,HK.00599,怡邦行控股,4000,STOCK
533,HK.00600,中國基建投資,2000,STOCK
534,HK.00601,權智(國際),10000,STOCK
535,HK.00602,佳華百貨控股,2500,STOCK
536,HK.00603,中油燃氣,20000,STOCK
537,HK.00604,深圳控股,2000,STOCK
538,HK.00605,中國金融投資管理,2000,STOCK
539,HK.00606,中國糧油控股,1000,STOCK
540,HK.00607,豐盛控股,2500,STOCK
541,HK.00608,達利國際,2000,STOCK
542,HK.00609,天德化工,4000,STOCK
543,HK.00610,惠記集團,2000,STOCK
544,HK.00611,中國核能科技,2000,STOCK
545,HK.00612,中國投資基金公司,8000,STOCK
546,HK.00613,渝港國際,2000,STOCK
547,HK.00616,高山企業,5000,STOCK
548,HK.00617,百利保控股,2000,STOCK
549,HK.00618,北大資源,2000,STOCK
550,HK.00619,南華金融,50000,STOCK
551,HK.00620,大唐西市,2000,STOCK
552,HK.00621,壇金礦業,10000,STOCK
553,HK.00622,威華達控股,3000,STOCK
554,HK.00623,中視金橋,1000,STOCK
555,HK.00626,大眾金融控股,2000,STOCK
556,HK.00627,佑威國際,20000,STOCK
557,HK.00628,華銀控股,2000,STOCK
558,HK.00629,悅達礦業,1000,STOCK
559,HK.00630,雋泰控股,10000,STOCK
560,HK.00631,三一國際,1000,STOCK
561,HK.00632,東方明珠石油,1000,STOCK
562,HK.00633,中國全通,2000,STOCK
563,HK.00635,彩星集團,2000,STOCK
564,HK.00636,嘉里物流,500,STOCK
565,HK.00637,利記,2000,STOCK
566,HK.00638,建溢集團,2000,STOCK
567,HK.00639,首鋼資源,2000,STOCK
568,HK.00640,星謙發展,4000,STOCK
569,HK.00641,恒天立信,2000,STOCK
570,HK.00643,恆富控股,10000,STOCK
571,HK.00645,安域亞洲,2000,STOCK
572,HK.00646,中國環保科技,8000,STOCK
573,HK.00647,JOYCE BOUTIQUE,2000,STOCK
574,HK.00648,中國華仁醫療,2500,STOCK
575,HK.00650,IDG能源,2000,STOCK
576,HK.00651,中海重工,5000,STOCK
577,HK.00653,卓悅控股,2000,STOCK
578,HK.00655,香港華人有限公司,2000,STOCK
579,HK.00656,復星國際,500,STOCK
580,HK.00657,環科國際,2000,STOCK
581,HK.00658,中國高速傳動,1000,STOCK
582,HK.00659,新創建集團,1000,STOCK
583,HK.00660,偉俊礦業集團,10000,STOCK
584,HK.00661,中國大冶有色金屬,2000,STOCK
585,HK.00662,亞洲金融,2000,STOCK
586,HK.00663,金山能源,1000,STOCK
587,HK.00665,海通國際,1000,STOCK
588,HK.00666,新工投資,20000,STOCK
589,HK.00668,東銀國際控股,2000,STOCK
590,HK.00669,創科實業,500,STOCK
591,HK.00670,中國東方航空股份,2000,STOCK
592,HK.00672,眾安房產,1000,STOCK
593,HK.00673,中國衛生控股,3000,STOCK
594,HK.00674,文化地標投資,4000,STOCK
595,HK.00675,堅寶國際,2000,STOCK
596,HK.00676,創信國際,2000,STOCK
597,HK.00677,金源米業,2000,STOCK
598,HK.00678,雲頂香港,1000,STOCK
599,HK.00679,亞洲聯網科技,10000,STOCK
600,HK.00680,南海控股,50000,STOCK
601,HK.00681,中民控股,2000,STOCK
602,HK.00682,超大現代,2000,STOCK
603,HK.00683,嘉里建設,500,STOCK
604,HK.00684,亞倫國際,2000,STOCK
605,HK.00685,世界華文媒體,1000,STOCK
606,HK.00686,聯合光伏,2000,STOCK
607,HK.00687,香港國際建投,2000,STOCK
608,HK.00688,中國海外發展,2000,STOCK
609,HK.00689,長盈集團(控股),15000,STOCK
610,HK.00690,聯康生物科技集團,20000,STOCK
611,HK.00691,山水水泥,1000,STOCK
612,HK.00692,中國家居,5000,STOCK
