,code,name,lot_size,stock_type,stock_child_type,owner_stock_code,listing_date
2638,HK.16293,中海高盛七甲购A.C,20000,WARRANT,CALL,HK.00688,2017-06-01
2639,HK.16294,中联高盛七十购B.C,2000,WARRANT,CALL,HK.00762,2017-06-01
2640,HK.16295,中证瑞信七乙购A.C,5000,WARRANT,CALL,HK.06030,2017-01-04
2641,HK.16296,平安高盛七甲沽C.P,5000,WARRANT,PUT,HK.02318,2017-06-01
2642,HK.16297,平安瑞信七八沽A.P,5000,WARRANT,PUT,HK.02318,2017-01-04
2643,HK.16299,国泰瑞银七乙购A.C,1000,WARRANT,CALL,HK.00293,2017-06-01
2644,HK.16300,汇丰摩通七九购C.C,4000,WARRANT,CALL,HK.00005,2017-06-01
2645,HK.16301,招行摩通八八购A.C,5000,WARRANT,CALL,HK.03968,2017-06-01
2646,HK.16302,创科摩通八二购A.C,5000,WARRANT,CALL,HK.00669,2017-06-01
2647,HK.16303,电盈摩通七乙购A.C,1000,WARRANT,CALL,HK.00008,2017-06-01
2648,HK.16304,腾讯麦银八四沽A.P,10000,WARRANT,PUT,HK.00700,2017-06-02
2649,HK.16305,腾讯麦银八四购B.C,10000,WARRANT,CALL,HK.00700,2017-06-02
2650,HK.16306,长汽麦银八三购A.C,500,WARRANT,CALL,HK.02333,2017-06-02
2651,HK.16307,国信麦银八五购B.C,2000,WARRANT,CALL,HK.00728,2017-06-02
2652,HK.16308,腾讯法兴八二购B.C,10000,WARRANT,CALL,HK.00700,2017-06-02
2653,HK.16309,农行汇丰七乙购B.C,1000,WARRANT,CALL,HK.01288,2017-06-02
2654,HK.16310,长和汇丰七乙购A.C,5000,WARRANT,CALL,HK.00001,2017-06-02
2655,HK.16311,银河汇丰七十购B.C,10000,WARRANT,CALL,HK.00027,2017-06-02
2656,HK.16312,南中汇丰七十购B.C,200,WARRANT,CALL,HK.02822,2017-06-02
2657,HK.16313,A中汇丰七乙购B.C,100,WARRANT,CALL,HK.02823,2017-06-02
2658,HK.16314,夏三汇丰八四购A.C,2000,WARRANT,CALL,HK.03188,2017-06-02
2659,HK.16315,南中法兴七乙购B.C,200,WARRANT,CALL,HK.02822,2017-06-02
2660,HK.16317,A中法兴七乙购A.C,100,WARRANT,CALL,HK.02823,2017-06-02
2661,HK.16318,银河法兴七乙沽B.P,10000,WARRANT,PUT,HK.00027,2017-06-02
2662,HK.16319,南中瑞信七乙购A.C,200,WARRANT,CALL,HK.02822,2017-06-02
2663,HK.16320,A中瑞信七乙购A.C,100,WARRANT,CALL,HK.02823,2017-06-02
2664,HK.16321,恒H瑞信七乙购A.C,2000,WARRANT,CALL,HK.02828,2017-06-02
2665,HK.16323,碧桂瑞信七乙购A.C,1000,WARRANT,CALL,HK.02007,2017-06-02
2666,HK.16324,中移瑞信七十沽D.P,5000,WARRANT,PUT,HK.00941,2017-06-02
2667,HK.16325,中寿摩通八三购A.C,10000,WARRANT,CALL,HK.02628,2017-06-02
2668,HK.16326,平安摩通八一购A.C,5000,WARRANT,CALL,HK.02318,2017-06-02
2669,HK.16327,平安摩通八二沽B.P,5000,WARRANT,PUT,HK.02318,2017-06-02
2670,HK.16328,恒指摩通八三沽B.P,10000,WARRANT,PUT,HK.800000,2017-06-02
2671,HK.16329,恒指摩通八一沽C.P,10000,WARRANT,PUT,HK.800000,2017-06-02
2672,HK.16330,中企摩通七甲沽A.P,10000,WARRANT,PUT,HK.800100,2017-06-02
2673,HK.16334,平安法兴七乙购D.C,5000,WARRANT,CALL,HK.02318,2017-06-02
2674,HK.16335,恒指高盛七甲沽D.P,10000,WARRANT,PUT,HK.800000,2017-06-02
2675,HK.16336,恒指高盛八一购A.C,10000,WARRANT,CALL,HK.800000,2017-06-02
2676,HK.16337,长和高盛七乙购A.C,5000,WARRANT,CALL,HK.00001,2017-06-02
2677,HK.16339,建行高盛七九购B.C,1000,WARRANT,CALL,HK.00939,2017-06-02
2678,HK.16340,建行高盛七乙沽A.P,1000,WARRANT,PUT,HK.00939,2017-06-02
2679,HK.16341,中寿高盛七乙购B.C,10000,WARRANT,CALL,HK.02628,2017-06-02
2680,HK.16342,建行瑞银七甲购B.C,1000,WARRANT,CALL,HK.00939,2017-06-02
2681,HK.16343,恒指瑞银七甲沽C.P,10000,WARRANT,PUT,HK.800000,2017-06-02
2682,HK.16344,铁建瑞银八乙购A.C,5000,WARRANT,CALL,HK.01186,2017-06-02
2683,HK.16345,南中瑞银七九购A.C,200,WARRANT,CALL,HK.02822,2017-06-02
2684,HK.16347,汇丰瑞信七七沽A.P,4000,WARRANT,PUT,HK.00005,2017-01-04
2685,HK.16348,平安瑞银七乙购B.C,5000,WARRANT,CALL,HK.02318,2017-06-02
2686,HK.16349,招行中银七乙购A.C,500,WARRANT,CALL,HK.03968,2017-06-05
2687,HK.16350,联想中银七乙购A.C,2000,WARRANT,CALL,HK.00992,2017-06-05
2688,HK.16351,银河中银七乙购A.C,10000,WARRANT,CALL,HK.00027,2017-06-05
2689,HK.16352,南中瑞信七七购A.C,200,WARRANT,CALL,HK.02822,2017-01-04
2690,HK.16353,平安中银七乙购A.C,5000,WARRANT,CALL,HK.02318,2017-06-05
2691,HK.16354,平安中银七乙沽B.P,5000,WARRANT,PUT,HK.02318,2017-06-05
2692,HK.16355,恒指中银七六购A.C,10000,WARRANT,CALL,HK.800000,2017-01-05
2693,HK.16356,工行法兴七乙购D.C,1000,WARRANT,CALL,HK.01398,2017-06-05
2694,HK.16357,联想汇丰七乙购C.C,2000,WARRANT,CALL,HK.00992,2017-06-05
2695,HK.16359,恒指法巴八一购B.C,10000,WARRANT,CALL,HK.800000,2017-06-05
2696,HK.16361,恒指法巴七乙购C.C,10000,WARRANT,CALL,HK.800000,2017-06-05
2697,HK.16362,恒指中银七八购A.C,10000,WARRANT,CALL,HK.800000,2017-01-05
2698,HK.16363,恒指法巴八三购E.C,10000,WARRANT,CALL,HK.800000,2017-06-05
2699,HK.16365,建行汇丰七九购A.C,1000,WARRANT,CALL,HK.00939,2017-06-05
2700,HK.16367,建行汇丰七乙购A.C,1000,WARRANT,CALL,HK.00939,2017-06-05
2701,HK.16368,中车汇丰七乙购A.C,1000,WARRANT,CALL,HK.01766,2017-06-05
2702,HK.16369,夏三高盛八一购A.C,2000,WARRANT,CALL,HK.03188,2017-06-05
2703,HK.16370,招行法巴八十购B.C,5000,WARRANT,CALL,HK.03968,2017-06-05
2704,HK.16371,中化法巴八三购A.C,2000,WARRANT,CALL,HK.00386,2017-06-05
2705,HK.16372,恒指中银七九沽A.P,10000,WARRANT,PUT,HK.800000,2017-01-05
2706,HK.16373,比迪法巴八四购A.C,5000,WARRANT,CALL,HK.01211,2017-06-05
2707,HK.16374,金软法巴八五购A.C,10000,WARRANT,CALL,HK.03888,2017-06-05
2708,HK.16375,恒大法巴八一购B.C,10000,WARRANT,CALL,HK.03333,2017-06-05
2709,HK.16376,A中瑞银七乙购B.C,100,WARRANT,CALL,HK.02823,2017-06-05
2710,HK.16378,友邦中银七七购B.C,2000,WARRANT,CALL,HK.01299,2017-01-05
2711,HK.16379,金沙中银七七购B.C,4000,WARRANT,CALL,HK.01928,2017-01-05
2712,HK.16380,远发瑞银八八购A.C,1000,WARRANT,CALL,HK.02866,2017-06-05
2713,HK.16381,中行瑞银八一购A.C,1000,WARRANT,CALL,HK.03988,2017-06-05
2714,HK.16382,工行瑞银七十购C.C,1000,WARRANT,CALL,HK.01398,2017-06-05
2715,HK.16383,交银瑞银七甲购A.C,1000,WARRANT,CALL,HK.03328,2017-06-05
2716,HK.16384,夏三瑞银八四购A.C,2000,WARRANT,CALL,HK.03188,2017-06-05
2717,HK.16385,紫金麦银八六购A.C,2000,WARRANT,CALL,HK.02899,2017-06-05
2718,HK.16387,信行麦银八一购A.C,1000,WARRANT,CALL,HK.00998,2017-06-05
2719,HK.16388,长和麦银八四沽A.P,5000,WARRANT,PUT,HK.00001,2017-06-05
2720,HK.16389,招行麦银八四沽C.P,5000,WARRANT,PUT,HK.03968,2017-06-05
2721,HK.16390,民行法兴七乙购B.C,500,WARRANT,CALL,HK.01988,2017-06-05
2722,HK.16393,中海法兴八一沽B.P,20000,WARRANT,PUT,HK.00688,2017-06-05
2723,HK.16395,建行瑞信七乙沽A.P,1000,WARRANT,PUT,HK.00939,2017-06-05
2724,HK.16396,铁建瑞信八乙购A.C,5000,WARRANT,CALL,HK.01186,2017-06-05
2725,HK.16397,南中高盛七十购C.C,200,WARRANT,CALL,HK.02822,2017-06-05
2726,HK.16398,A中高盛七乙购C.C,100,WARRANT,CALL,HK.02823,2017-06-05
2727,HK.16399,招行法兴八二购A.C,5000,WARRANT,CALL,HK.03968,2017-06-06
2728,HK.16400,碧桂法兴八乙购A.C,10000,WARRANT,CALL,HK.02007,2017-06-06
2729,HK.16402,腾讯汇丰七乙购D.C,10000,WARRANT,CALL,HK.00700,2017-06-06
